lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,22309,30295,35480,0,0,8120
0,0,0,0,0,0,19540,28534,34856,0,0,8125
0,0,0,0,0,0,25622,35016,37209,2,1,8142
0,0,0,0,0,0,36696,38057,37401,0,1,8145
0,0,0,0,0,0,22037,30759,35784,0,0,8150
0,0,0,0,0,0,19636,28903,35064,1,0,8155
0,0,0,0,0,0,32231,35992,35912,0,0,8160
0,0,0,0,0,0,24053,31559,36168,0,1,8165
0,0,0,0,0,0,20148,29015,35160,1,0,8170
0,0,0,0,0,0,30951,35832,35336,0,0,8175
0,0,0,0,0,0,24806,32263,36584,0,1,8180
0,0,0,0,0,0,20436,29239,35384,1,0,8185
0,0,0,0,0,0,18436,27702,34680,0,0,8190
0,0,0,0,0,0,30263,36985,36808,1,1,8195
0,0,0,0,0,0,22085,30759,35864,0,0,8200
0,0,0,0,0,0,21861,30375,35896,0,0,8205
0,0,0,0,0,0,30791,36248,36296,1,1,8210
0,0,0,0,0,0,22293,30631,35640,0,0,8215
0,0,0,0,0,0,19684,28791,35016,0,0,8220
0,0,0,0,0,0,30951,38009,37065,1,1,8225
0,0,0,0,0,0,27206,36104,37337,1,1,8243
0,0,0,0,0,0,24854,31607,36248,0,0,8245
0,0,0,0,0,0,20356,29319,35352,1,0,8250
0,0,0,0,0,0,33384,34264,35160,0,0,8255
0,0,0,0,0,0,25126,31575,36216,0,1,8260
0,0,0,0,0,0,20725,29111,35192,1,0,8265
0,0,0,0,0,0,18372,27574,34584,0,0,8270
0,0,0,0,0,0,30375,36008,36376,1,1,8275
0,0,0,0,0,0,22133,30487,35656,0,0,8280
0,0,0,0,0,0,22357,30391,35960,0,0,8285
0,0,0,0,0,0,30839,35912,36088,1,1,8290
0,0,0,0,0,0,22693,30775,35736,0,0,8295
0,0,0,0,0,0,19524,28598,34984,0,0,8300
0,0,0,0,0,0,31431,36536,36424,1,1,8305
0,0,0,0,0,0,22053,30487,35608,0,0,8310
0,0,0,0,0,0,19252,28326,34840,1,0,8315
0,0,0,0,0,0,36248,37705,37017,0,1,8320
0,0,0,0,0,0,22325,30343,35400,0,0,8325
0,0,0,0,0,0,19396,28326,34760,1,0,8330
0,0,0,0,0,0,26678,33992,37321,1,1,8342
0,0,0,0,0,0,23141,30135,35816,0,0,8345
0,0,0,0,0,0,21989,29575,35352,0,0,8350
0,0,0,0,0,0,30615,34760,35960,1,1,8355
0,0,0,0,0,0,22517,30103,35480,0,0,8360
0,0,0,0,0,0,19908,28630,34984,0,0,8365
0,0,0,0,0,0,31095,36488,36472,1,1,8370
0,0,0,0,0,0,22357,30631,35688,0,0,8375
0,0,0,0,0,0,19492,28662,35032,0,0,8380
0,0,0,0,0,0,33992,36616,36776,1,1,8385
0,0,0,0,0,0,20901,29303,34984,0,0,8390
0,0,0,0,0,0,18884,27990,34600,1,0,8395
0,0,0,0,0,0,30311,35112,35288,0,0,8400
0,0,0,0,0,0,24838,32199,36472,0,1,8405
0,0,0,0,0,0,20324,29207,35304,1,0,8410
0,0,0,0,0,0,18260,27622,34584,0,0,8415
0,0,0,0,0,0,30247,36953,36792,0,1,8420
0,0,0,0,0,0,22261,30967,35896,1,0,8425
0,0,0,0,0,0,27302,34584,36392,1,1,8437
0,0,0,0,0,0,23205,30455,35672,0,0,8440
0,0,0,0,0,0,19684,28534,35016,0,0,8445
0,0,0,0,0,0,31351,36232,36328,1,1,8450
0,0,0,0,0,0,22181,30327,35576,0,0,8455
0,0,0,0,0,0,19284,28342,34808,0,0,8460
0,0,0,0,0,0,34952,36088,36168,1,1,8465
0,0,0,0,0,0,22197,30567,35640,0,0,8470
0,0,0,0,0,0,19460,28534,34904,1,0,8475
0,0,0,0,0,0,61182,43802,38169,0,0,8480
0,0,0,0,0,0,30903,35336,36408,0,1,8485
0,0,0,0,0,0,22789,30519,35784,1,0,8490
0,0,0,0,0,0,21493,29399,35288,0,0,8495
0,0,0,0,0,0,30711,36280,36552,0,1,8500
0,0,0,0,0,0,22309,30647,35736,1,0,8505
0,0,0,0,0,0,19812,28903,35128,0,0,8510
0,0,0,0,0,0,30935,37033,36712,1,1,8515
0,0,0,0,0,0,22261,30983,35784,0,0,8520
0,0,0,0,0,0,27750,35736,36824,1,1,8532
0,0,0,0,0,0,23237,30967,35848,0,0,8535
0,0,0,0,0,0,19988,28999,35160,0,0,8540
0,0,0,0,0,0,32407,37609,36328,1,0,8545
0,0,0,0,0,0,24998,32776,36216,0,1,8550
0,0,0,0,0,0,20356,29335,35400,0,0,8555
0,0,0,0,0,0,18404,27862,34648,1,0,8560
0,0,0,0,0,0,30327,35624,36248,0,1,8565
0,0,0,0,0,0,22245,30327,35624,1,0,8570
0,0,0,0,0,0,20324,29127,35288,0,0,8575
0,0,0,0,0,0,30807,36360,36344,0,1,8580
0,0,0,0,0,0,22261,30551,35640,1,0,8585
0,0,0,0,0,0,19412,28566,34840,0,0,8590
0,0,0,0,0,0,31863,35272,36024,0,1,8595
0,0,0,0,0,0,21893,29671,35208,1,0,8600
0,0,0,0,0,0,19284,28134,34680,0,0,8605
0,0,0,0,0,0,31783,35048,35400,1,0,8610
0,0,0,0,0,0,24101,31111,36008,0,1,8615
0,0,0,0,0,0,29303,35976,36856,1,1,8627
0,0,0,0,0,0,22773,30215,35512,0,0,8630
0,0,0,0,0,0,19412,28390,34840,0,0,8635
0,0,0,0,0,0,20597,29015,35384,1,0,8640
0,0,0,0,0,0,30567,36696,36552,0,1,8645
0,0,0,0,0,0,22245,30887,35736,1,0,8650
0,0,0,0,0,0,19492,28743,35048,0,0,8655
0,0,0,0,0,0,30791,36072,36264,0,1,8660
0,0,0,0,0,0,22133,30439,35544,1,0,8665
0,0,0,0,0,0,19300,28454,34808,0,0,8670
0,0,0,0,0,0,31991,36856,36600,0,1,8675
0,0,0,0,0,0,21893,30263,35448,1,0,8680
0,0,0,0,0,0,19252,28358,34792,0,0,8685
0,0,0,0,0,0,31703,34344,36360,1,0,8690
0,0,0,0,0,0,24277,31143,36152,0,1,8695
0,0,0,0,0,0,20244,28711,35192,0,0,8700
0,0,0,0,0,0,17732,26998,34264,1,0,8705
0,0,0,0,0,0,30215,34936,36040,0,1,8710
0,0,0,0,0,0,22197,29975,35496,0,0,8715
0,0,0,0,0,0,27478,35688,36856,1,1,8727
0,0,0,0,0,0,23189,30855,35832,1,0,8730
0,0,0,0,0,0,19716,28791,35048,0,0,8735
0,0,0,0,0,0,31015,36937,36616,0,1,8740
0,0,0,0,0,0,22197,30711,35736,1,0,8745
0,0,0,0,0,0,19444,28743,35000,0,0,8750
0,0,0,0,0,0,34264,38025,37241,0,1,8755
0,0,0,0,0,0,20645,29575,35112,1,0,8760
0,0,0,0,0,0,18660,28086,34616,0,0,8765
0,0,0,0,0,0,31671,35832,35464,1,0,8770
0,0,0,0,0,0,25238,32295,36536,0,1,8775
0,0,0,0,0,0,20661,29399,35400,0,0,8780
0,0,0,0,0,0,18548,27894,34712,1,0,8785
0,0,0,0,0,0,30327,36088,36360,0,1,8790
0,0,0,0,0,0,22101,30551,35656,0,0,8795
0,0,0,0,0,0,21141,29735,35672,1,0,8800
0,0,0,0,0,0,30951,37177,36632,0,1,8805
0,0,0,0,0,0,22325,31031,35800,1,0,8810
0,0,0,0,0,0,27702,35816,36856,0,1,8822
0,0,0,0,0,0,23189,30903,35848,1,0,8825
0,0,0,0,0,0,19828,28839,35064,0,0,8830
0,0,0,0,0,0,34504,36632,36312,0,0,8835
0,0,0,0,0,0,24277,32023,36344,1,1,8840
0,0,0,0,0,0,20292,29223,35272,0,0,8845
0,0,0,0,0,0,17556,27238,34296,1,0,8850
0,0,0,0,0,0,30151,35992,36440,0,1,8855
0,0,0,0,0,0,22117,30407,35656,0,0,8860
0,0,0,0,0,0,21861,30215,35848,1,0,8865
0,0,0,0,0,0,30807,36328,36376,0,1,8870
0,0,0,0,0,0,22341,30711,35720,0,0,8875
0,0,0,0,0,0,19540,28727,34952,1,0,8880
0,0,0,0,0,0,30999,36520,36472,0,1,8885
0,0,0,0,0,0,22309,30631,35688,0,0,8890
0,0,0,0,0,0,19476,28630,34936,1,0,8895
0,0,0,0,0,0,32455,38345,37225,0,1,8900
0,0,0,0,0,0,21509,30551,35624,1,0,8905
0,0,0,0,0,0,27862,34856,36296,1,1,8917
0,0,0,0,0,0,23141,30327,35512,0,0,8920
0,0,0,0,0,0,19684,28518,34984,0,0,8925
0,0,0,0,0,0,17764,27142,34344,0,0,8930
0,0,0,0,0,0,30327,35576,36280,1,1,8935
0,0,0,0,0,0,22293,30407,35608,0,0,8940
0,0,0,0,0,0,21925,30039,35784,1,0,8945
0,0,0,0,0,0,30775,34664,35720,0,1,8950
0,0,0,0,0,0,22197,29847,35368,0,0,8955
0,0,0,0,0,0,19444,28150,34728,1,0,8960
0,0,0,0,0,0,30983,36969,36584,0,1,8965
0,0,0,0,0,0,22277,30759,35768,0,0,8970
0,0,0,0,0,0,19348,28486,34872,1,0,8975
0,0,0,0,0,0,34072,36969,36728,0,1,8980
0,0,0,0,0,0,20725,29223,34984,1,0,8985
0,0,0,0,0,0,18660,27798,34456,0,0,8990
0,0,0,0,0,0,29975,34840,35064,0,0,8995
0,0,0,0,0,0,24710,31799,36344,1,1,9000
0,0,0,0,0,0,20372,29063,35192,0,0,9005
0,0,0,0,0,0,27046,35432,36889,1,1,9017
0,0,0,0,0,0,23029,30711,35768,0,0,9020
0,0,0,0,0,0,19860,28887,35160,1,0,9025
0,0,0,0,0,0,30919,35784,36216,0,1,9030
0,0,0,0,0,0,22373,30535,35624,0,0,9035
0,0,0,0,0,0,19668,28582,35000,1,0,9040
0,0,0,0,0,0,33816,36552,36520,0,1,9045
0,0,0,0,0,0,20997,29495,35160,0,0,9050
0,0,0,0,0,0,18804,27910,34664,1,0,9055
0,0,0,0,0,0,31335,34232,36152,0,0,9060
0,0,0,0,0,0,24774,31511,36392,1,1,9065
0,0,0,0,0,0,20388,28855,35256,0,0,9070
0,0,0,0,0,0,18084,27414,34584,0,0,9075
0,0,0,0,0,0,30295,34520,35800,1,1,9080
0,0,0,0,0,0,22245,29719,35336,0,0,9085
0,0,0,0,0,0,22117,29927,35672,0,0,9090
0,0,0,0,0,0,30855,35928,36184,1,1,9095
0,0,0,0,0,0,22357,30407,35496,0,0,9100
0,0,0,0,0,0,27526,35528,36680,1,1,9112
0,0,0,0,0,0,23237,30695,35752,0,0,9115
0,0,0,0,0,0,19908,28903,35080,1,0,9120
0,0,0,0,0,0,35352,35672,36504,0,1,9125
0,0,0,0,0,0,20212,28582,34728,0,0,9130
0,0,0,0,0,0,18532,27638,34440,1,0,9135
0,0,0,0,0,0,31943,35928,35464,0,0,9140
0,0,0,0,0,0,24918,32247,36616,1,1,9145
0,0,0,0,0,0,20597,29543,35656,0,0,9150
0,0,0,0,0,0,18836,28262,35096,0,0,9155
0,0,0,0,0,0,30503,36937,36696,1,1,9160
0,0,0,0,0,0,22261,31031,36072,0,0,9165
0,0,0,0,0,0,19828,29191,35336,0,0,9170
0,0,0,0,0,0,30903,36760,36520,1,1,9175
0,0,0,0,0,0,22309,30919,35880,0,0,9180
